id,title,genres,original_language,popularity,release_date,runtime,tagline,vote_average,poster_url,overview,id_description,id_description_keywords_genres,anger,disgust,fear,joy,sadness,surprise,neutral,genre_list
615656,Meg 2: The Trench,Action-Science Fiction-Horror,en,8763.998,2023-08-02,116.0,Back for seconds.,7.079,https://image.tmdb.org/t/p/w500/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,615656 An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,615656 An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. based on novel or book sequel kaiju Action Science Fiction Horror,0.0641336441040039,0.10400667786598206,0.9621548056602478,0.04056443274021149,0.5494767427444458,0.11169017851352692,0.07876550406217575,"['Action', 'Science Fiction', 'Horror']"
758323,The Pope's Exorcist,Horror-Mystery-Thriller,en,5953.227,2023-04-05,103.0,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",7.433,https://image.tmdb.org/t/p/w500/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,758323 Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,758323 Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden. spain rome italy vatican pope pig possession conspiracy devil exorcist skepticism catholic priest 1980s supernatural horror Horror Mystery Thriller,0.0641336441040039,0.10400667786598206,0.9865303635597229,0.04056443274021149,0.5494767427444458,0.11169017851352692,0.07876550406217575,"['Horror', 'Mystery', 'Thriller']"
533535,Deadpool & Wolverine,Action-Comedy-Science Fiction,en,5410.496,2024-07-24,128.0,Come together.,7.765,https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary Deadpool behind him. But when his homeworld faces an existential threat Wade must reluctantly suit-up again with an even more reluctant Wolverine.,533535 A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary Deadpool behind him. But when his homeworld faces an existential threat Wade must reluctantly suit-up again with an even more reluctant Wolverine.,533535 A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary Deadpool behind him. But when his homeworld faces an existential threat Wade must reluctantly suit-up again with an even more reluctant Wolverine. hero superhero anti hero mutant breaking the fourth wall marvel cinematic universe (mcu) mutants superhero teamup Action Comedy Science Fiction,0.0641336441040039,0.10400667786598206,0.8770623207092285,0.04056443274021149,0.5494767427444458,0.8723060488700867,0.07876550406217575,"['Action', 'Comedy', 'Science Fiction']"
667538,Transformers: Rise of the Beasts,Action-Adventure-Science Fiction,en,5409.104,2023-06-06,127.0,Unite or fall.,7.34,https://image.tmdb.org/t/p/w500/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.,667538 When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.,667538 When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth. peru alien end of the world based on cartoon based on toy robot duringcreditsstinger 1990s brother brother relationship Action Adventure Science Fiction,0.08804075419902802,0.10400667786598206,0.8743387460708618,0.04056443274021149,0.8204259872436523,0.11169017851352692,0.07876550406217575,"['Action', 'Adventure', 'Science Fiction']"
693134,Dune: Part Two,Science Fiction-Adventure,en,4742.163,2024-02-27,167.0,Long live the fighters.,8.3,https://image.tmdb.org/t/p/w500/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.,693134 Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.,693134 Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee. epic based on novel or book fight sandstorm sand spice chosen one sequel distant future creature planet desert destiny giant worm space opera sand dune messiah vengeance giant creature power violence dune part two Science Fiction Adventure,0.8988950252532959,0.10400667786598206,0.9714474678039551,0.04056443274021149,0.5494767427444458,0.11169017851352692,0.07876550406217575,"['Science Fiction', 'Adventure']"
912649,Venom: The Last Dance,Science Fiction-Action-Adventure,en,4674.885,2024-10-22,109.0,'Til death do they part.,6.522,https://image.tmdb.org/t/p/w500/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.,912649 Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.,912649 Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance. hero superhero anti hero villain alien life form based on comic sequel aftercreditsstinger woman director direct farcical straightforward Science Fiction Action Adventure,0.0641336441040039,0.10400667786598206,0.6223104596138,0.04056443274021149,0.8857134580612183,0.22671788930892944,0.07876550406217575,"['Science Fiction', 'Action', 'Adventure']"
640146,Ant-Man and the Wasp: Quantumania,Action-Adventure-Science Fiction,en,4425.387,2023-02-15,125.0,Witness the beginning of a new dynasty.,6.507,https://image.tmdb.org/t/p/w500/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,640146 Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,640146 Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible. hero ant sequel superhero based on comic family superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) Action Adventure Science Fiction,0.0641336441040039,0.10400667786598206,0.3735322952270508,0.04056443274021149,0.5494767427444458,0.11169017851352692,0.49919092655181885,"['Action', 'Adventure', 'Science Fiction']"
677179,Creed III,Drama-Action,en,3994.342,2023-03-01,116.0,You can't run from your past.,7.262,https://image.tmdb.org/t/p/w500/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.,677179 After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.,677179 After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose. philadelphia pennsylvania husband wife relationship deaf sports sequel orphan former best friend ex con childhood friends juvenile detention center boxing prodigy Drama Action,0.08708731830120087,0.10400667786598206,0.05136283114552498,0.5399830341339111,0.8691481947898865,0.2443702667951584,0.07876550406217575,"['Drama', 'Action']"
614479,Insidious: The Red Door,Horror-Mystery-Thriller,en,3512.648,2023-07-05,107.0,It ends where it all began.,6.75,https://image.tmdb.org/t/p/w500/azTC5osYiqei1ofw6Z3GmUrxQbi.jpg,To put their demons to rest once and for all Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.,614479 To put their demons to rest once and for all Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.,614479 To put their demons to rest once and for all Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door. sequel demon franchise insidious supernatural horror evil spirits directorial debut fifth part Horror Mystery Thriller,0.0641336441040039,0.10400667786598206,0.986060380935669,0.04056443274021149,0.5494767427444458,0.11169017851352692,0.07876550406217575,"['Horror', 'Mystery', 'Thriller']"
519182,Despicable Me 4,Animation-Family-Comedy-Action,en,3195.72,2024-06-20,94.0,Things just got a little more despicable.,7.35,https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,Gru and Lucy and their girls—Margo Edith and Agnes—welcome a new member to the Gru family Gru Jr. who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina forcing the family to go on the run.,519182 Gru and Lucy and their girls—Margo Edith and Agnes—welcome a new member to the Gru family Gru Jr. who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina forcing the family to go on the run.,519182 Gru and Lucy and their girls—Margo Edith and Agnes—welcome a new member to the Gru family Gru Jr. who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina forcing the family to go on the run. superhero villain sequel super villain illumination kids disapproving Animation Family Comedy Action,0.5755335092544556,0.2871212065219879,0.2747225761413574,0.8635374307632446,0.5494767427444458,0.24398048222064972,0.07876550406217575,"['Animation', 'Family', 'Comedy', 'Action']"
